Area,Average_price,City,Company,Detailed_address,District,Model
建面 96m2,9500,南京,来安孔雀城房地产开发有限公司,汊河大桥桥头堡,来安县楼盘,3室2厅1卫 
建面 95m2,9500,南京,来安孔雀城房地产开发有限公司,汊河大桥桥头堡,来安县楼盘,3室2厅2卫 
建面 117m2,9000,南京,来安香江置业有限公司,104国道与长江路交汇处,来安县楼盘,3室0厅0卫 
建面 120m2,9000,南京,来安香江置业有限公司,104国道与长江路交汇处,来安县楼盘,3室2厅2卫 
建面 133m2,9000,南京,来安香江置业有限公司,104国道与长江路交汇处,来安县楼盘,4室2厅2卫 
建面 89m2,9900,南京,南京明发浦泰置业有限公司雨花分公司,长江路西侧明发北站新城,来安县楼盘,2室2厅1卫 
建面 106m2,9900,南京,南京明发浦泰置业有限公司雨花分公司,长江路西侧明发北站新城,来安县楼盘,3室2厅1卫 
建面 95m2,15500,南京,江苏宝华碧桂园置业有限公司,宝华大道8号,句容楼盘,3室2厅1卫 
建面 127m2,15500,南京,江苏宝华碧桂园置业有限公司,宝华大道8号,句容楼盘,4室2厅2卫 
建面 142m2,15500,南京,江苏宝华碧桂园置业有限公司,宝华大道8号,句容楼盘,4室2厅2卫 
建面 129m2,15000,南京,江苏兰华投资开发有限公司,宝华山国家森林公园,句容楼盘,4室2厅3卫 
建面 140m2,15000,南京,江苏兰华投资开发有限公司,宝华山国家森林公园,句容楼盘,4室2厅3卫 
建面 156m2,15000,南京,江苏兰华投资开发有限公司,宝华山国家森林公园,句容楼盘,4室2厅4卫 
建面 169m2,20000,南京,江苏钟山度假开发有限公司,宝华山国家森林公园南门,句容楼盘,4室2厅3卫 
建面 175m2,20000,南京,江苏钟山度假开发有限公司,宝华山国家森林公园南门,句容楼盘,4室2厅3卫 
建面 192m2,20000,南京,江苏钟山度假开发有限公司,宝华山国家森林公园南门,句容楼盘,6室2厅3卫 
建面 88m2,15000,南京,句容鑫辉房地产开发有限公司,仙林东路1号,句容楼盘,3室2厅1卫 
建面 89m2,15000,南京,句容鑫辉房地产开发有限公司,仙林东路1号,句容楼盘,3室2厅1卫 
建面 100m2,15000,南京,句容鑫辉房地产开发有限公司,仙林东路1号,句容楼盘,3室2厅2卫 
建面 92m2,17500,南京,句容濠峰置业有限公司,仙林东路与和平路交汇处向南300米,句容楼盘,3室2厅2卫 
建面 100m2,17500,南京,句容濠峰置业有限公司,仙林东路与和平路交汇处向南300米,句容楼盘,3室2厅2卫 
建面 110m2,17500,南京,句容濠峰置业有限公司,仙林东路与和平路交汇处向南300米,句容楼盘,3室2厅2卫 
建面 95m2,11500,南京,固安京御幸福房地产开发有限公司,戴村路8号,高淳楼盘,3室2厅2卫 
建面 120m2,11500,南京,固安京御幸福房地产开发有限公司,戴村路8号,高淳楼盘,4室2厅2卫 
建面 90m2,8000,南京,雅居乐地产,淳溪镇双高路高淳雅居乐花园,高淳楼盘,3室2厅1卫 
建面 105m2,8000,南京,雅居乐地产,淳溪镇双高路高淳雅居乐花园,高淳楼盘,3室2厅2卫 
建面 125m2,8000,南京,雅居乐地产,淳溪镇双高路高淳雅居乐花园,高淳楼盘,4室2厅2卫 
建面 85m2,8268,南京,江苏海基房地产开发有限公司,淳溪镇双湖南路001号,高淳楼盘,2室2厅1卫 
建面 111m2,8268,南京,江苏海基房地产开发有限公司,淳溪镇双湖南路001号,高淳楼盘,3室2厅1卫 
建面 120m2,8505,南京,中房（南京）地产有限公司 ,凤山路以南、丹阳湖北路以西,高淳楼盘,3室2厅2卫 
建面 142m2,8505,南京,中房（南京）地产有限公司 ,凤山路以南、丹阳湖北路以西,高淳楼盘,4室2厅2卫 
建面 118m2,12080,南京,南京中南融创置业有限公司 ,水阳江路99号,高淳楼盘,4室2厅2卫 
建面 87m2,12080,南京,南京中南融创置业有限公司 ,水阳江路99号,高淳楼盘,3室2厅1卫 
建面 280m2,12000,南京,南京海盛房地产有限公司,双湖路1号,高淳楼盘,6室3厅3卫 
建面 320m2,12000,南京,南京海盛房地产有限公司,双湖路1号,高淳楼盘,7室3厅4卫 
建面 91m2,变价提醒,南京,南京康利置业有限公司,志远路68号,溧水楼盘,2室2厅1卫 
建面 138m2,变价提醒,南京,南京康利置业有限公司,志远路68号,溧水楼盘,3室2厅2卫 
建面 122m2,变价提醒,南京,南京康利置业有限公司,志远路68号,溧水楼盘,3室2厅1卫 
建面 140m2,11500,南京,南京溧水万达广场有限公司,仪凤南路70号,溧水楼盘,4室2厅2卫 
建面 112m2,11500,南京,南京溧水万达广场有限公司,仪凤南路70号,溧水楼盘,3室2厅2卫 
建面 120m2,11500,南京,南京溧水万达广场有限公司,仪凤南路70号,溧水楼盘,3室2厅2卫 
建面 105m2,8980,南京,南京蓝敏置业有限公司,红光路19号,溧水楼盘,3室2厅1卫 
建面 105m2,8980,南京,南京蓝敏置业有限公司,红光路19号,溧水楼盘,3室2厅1卫 
建面 90m2,8980,南京,南京蓝敏置业有限公司,红光路19号,溧水楼盘,2室2厅1卫 
建面 141m2,15600,南京,南京卧龙湖置业有限公司,卧龙湖大道1号,溧水楼盘,4室2厅3卫 
建面 229m2,15600,南京,南京卧龙湖置业有限公司,卧龙湖大道1号,溧水楼盘,4室2厅3卫 
建面 241m2,15600,南京,南京卧龙湖置业有限公司,卧龙湖大道1号,溧水楼盘,4室2厅3卫 
建面 142m2,8200,南京,南京和瑞房地产开发有限公司,珍珠北路88号,溧水楼盘,4室0厅0卫 
建面 112m2,8200,南京,南京和瑞房地产开发有限公司,珍珠北路88号,溧水楼盘,3室0厅0卫 
建面 104m2,8200,南京,南京和瑞房地产开发有限公司,珍珠北路88号,溧水楼盘,3室0厅0卫 
